down_method,up_method,factor,engine,down_time_ms,up_time_ms,total_time_ms,mse,psnr_db,ssim,image_key,image_title,cv_psnr_db,cv_ssim,cv_total_time_ms
max,nearest,4,scratch,2.76,3.8,6.57,2321.87,14.47,0.3819,01_high_texture,High Frequency Texture (Baboon / Mandrill),14.04,0.251,0.14
max,bilinear,4,scratch,2.75,17.25,20.0,2230.09,14.65,0.3788,01_high_texture,High Frequency Texture (Baboon / Mandrill),14.35,0.284,0.19
max,bicubic,4,scratch,2.73,57.88,60.61,2243.28,14.62,0.3977,01_high_texture,High Frequency Texture (Baboon / Mandrill),14.21,0.2852,0.24
average,nearest,4,scratch,2.54,3.81,6.36,580.01,20.5,0.4677,01_high_texture,High Frequency Texture (Baboon / Mandrill),20.5,0.4677,0.07
average,bilinear,4,scratch,2.58,16.2,18.77,568.38,20.58,0.4369,01_high_texture,High Frequency Texture (Baboon / Mandrill),20.58,0.4369,0.09
average,bicubic,4,scratch,2.58,54.55,57.14,542.69,20.79,0.4715,01_high_texture,High Frequency Texture (Baboon / Mandrill),20.8,0.4764,0.19
median,nearest,4,scratch,6.26,3.71,9.96,617.71,20.22,0.4688,01_high_texture,High Frequency Texture (Baboon / Mandrill),19.15,0.3446,0.41
median,bilinear,4,scratch,6.16,16.99,23.14,583.27,20.47,0.4428,01_high_texture,High Frequency Texture (Baboon / Mandrill),19.59,0.357,0.25
median,bicubic,4,scratch,6.23,54.92,61.14,567.47,20.59,0.4755,01_high_texture,High Frequency Texture (Baboon / Mandrill),19.54,0.376,0.32
max,nearest,4,scratch,2.77,3.72,6.49,1174.93,17.43,0.6797,02_geometric_edge,Sharp Geometric Edges (Architectural Building),15.19,0.5287,0.17
max,bilinear,4,scratch,2.74,13.94,16.68,1013.98,18.07,0.7175,02_geometric_edge,Sharp Geometric Edges (Architectural Building),15.82,0.5749,0.16
max,bicubic,4,scratch,2.73,54.37,57.1,988.06,18.18,0.7264,02_geometric_edge,Sharp Geometric Edges (Architectural Building),15.56,0.5615,0.23
average,nearest,4,scratch,2.62,3.45,6.07,337.35,22.85,0.77,02_geometric_edge,Sharp Geometric Edges (Architectural Building),22.85,0.77,0.07
average,bilinear,4,scratch,2.56,16.75,19.31,233.01,24.46,0.7986,02_geometric_edge,Sharp Geometric Edges (Architectural Building),24.46,0.7986,0.09
average,bicubic,4,scratch,2.54,50.11,52.66,174.42,25.71,0.8265,02_geometric_edge,Sharp Geometric Edges (Architectural Building),25.97,0.8264,0.16
median,nearest,4,scratch,4.72,3.59,8.32,360.72,22.56,0.7744,02_geometric_edge,Sharp Geometric Edges (Architectural Building),18.66,0.639,0.23
median,bilinear,4,scratch,4.67,17.27,21.94,216.59,24.77,0.8105,02_geometric_edge,Sharp Geometric Edges (Architectural Building),19.97,0.6793,0.24
median,bicubic,4,scratch,4.69,65.43,70.12,172.67,25.76,0.8322,02_geometric_edge,Sharp Geometric Edges (Architectural Building),19.72,0.6793,0.39
max,nearest,4,scratch,2.74,3.19,5.93,1095.04,17.74,0.6797,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),16.59,0.6005,0.16
max,bilinear,4,scratch,2.82,15.87,18.69,913.19,18.53,0.7105,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),17.36,0.6403,0.19
max,bicubic,4,scratch,2.75,58.79,61.53,935.47,18.42,0.7215,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),17.09,0.6393,0.24
average,nearest,4,scratch,2.59,3.57,6.15,297.48,23.4,0.7834,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),23.4,0.7834,0.09
average,bilinear,4,scratch,2.62,16.25,18.86,227.03,24.57,0.8083,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),24.57,0.8085,0.09
average,bicubic,4,scratch,2.6,60.58,63.18,188.13,25.39,0.8361,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),25.57,0.8393,0.21
median,nearest,4,scratch,6.09,3.64,9.73,333.36,22.9,0.7855,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),20.35,0.6962,0.29
median,bilinear,4,scratch,5.39,17.54,22.92,223.35,24.64,0.8194,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),21.66,0.7334,0.35
median,bicubic,4,scratch,5.14,60.71,65.85,198.44,25.15,0.8403,03_smooth_gradient,Smooth Gradient & Soft Tones (Astronaut Portrait),21.53,0.7404,0.31
max,nearest,4,scratch,2.75,3.56,6.31,1813.8,15.54,0.4358,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),14.82,0.2658,0.14
max,bilinear,4,scratch,2.74,17.15,19.89,1739.48,15.73,0.4408,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),15.15,0.2973,0.16
max,bicubic,4,scratch,2.73,55.45,58.18,1703.73,15.82,0.4785,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),15.06,0.3112,0.24
average,nearest,4,scratch,2.57,2.7,5.26,510.3,21.05,0.6024,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),21.05,0.6024,0.07
average,bilinear,4,scratch,2.61,17.05,19.66,455.95,21.54,0.5979,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),21.54,0.5979,0.09
average,bicubic,4,scratch,2.56,58.39,60.95,385.08,22.28,0.6586,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),22.43,0.67,0.16
median,nearest,4,scratch,4.61,3.75,8.37,550.24,20.73,0.6,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),18.66,0.4211,0.28
median,bilinear,4,scratch,4.43,16.19,20.62,459.16,21.51,0.6041,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),19.46,0.443,0.28
median,bicubic,4,scratch,4.45,59.41,63.86,401.45,22.09,0.6596,04_natural_noise,Natural Scene with Noise & Organic Details (Gravel / Pebbles),19.48,0.4828,0.33
